Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
42,43,864,23,24914967,471266,78021,507,24992988,471773,3,491858,66643179,974032,8590941,57215,75234120,1031247,362,5,18,1087673,True
43,44,234,17,110126,18224,74026,500,184152,18724,1,19295,7758147,105481,4228217,28117,11986364,133598,185,5,12,129363,True
44,45,234,17,110126,18224,74133,500,184259,18724,1,19295,5190927,80045,4225684,28106,9416611,108151,180,5,12,98325,True
45,46,234,17,110126,18224,75082,500,185208,18724,1,19295,8776415,130656,4443639,29616,13220054,160272,189,5,12,157203,True
46,47,120,14,2641400,44323,76011,501,2717411,44824,2,47503,15592972,199467,4370597,29119,19963569,228586,159,5,11,239257,True
47,48,120,14,2088998,40979,76238,508,2165236,41487,2,43919,10606057,137169,3841162,25608,14447219,162777,141,5,10,163916,True
48,49,120,14,3415886,49548,74808,501,3490694,50049,2,53103,11043917,137030,3843765,25601,14887682,162631,140,5,10,162614,True
49,50,728,16,8169486,296504,81870,548,8251356,297052,3,315219,39159867,534944,5507403,36658,44667270,571602,213,5,13,725424,True
50,51,728,16,10653871,313059,76006,505,10729877,313564,3,332819,53880804,676727,6499351,43224,60380155,719951,240,5,14,899740,True
51,52,728,16,6206742,264899,75254,504,6281996,265403,2,281619,43545222,572637,6340074,42244,49885296,614881,230,5,14,764963,True
52,53,832,16,9130489,329915,77044,509,9207533,330424,3,350739,46545741,582611,5510814,36711,52056555,619322,216,5,13,786424,True
53,54,832,16,8873989,329614,75697,507,8949686,330121,3,350419,52346963,668848,5135505,34227,57482468,703075,214,5,13,917894,True
54,55,832,16,12166774,372055,77149,514,12243923,372569,4,395539,41632361,560472,5815735,38710,47448096,599182,229,5,14,762806,True
55,56,156,17,100589,16201,74815,500,175404,16701,1,17153,10414825,146682,5336207,35613,15751032,182295,208,5,14,174379,True
56,57,156,17,100589,16201,73804,500,174393,16701,1,17153,5132706,90687,6614177,44121,11746883,134808,240,5,16,115520,True
57,58,156,17,100589,16201,74636,500,175225,16701,1,17153,5556005,101032,6861475,45626,12417480,146658,248,5,16,127249,True
58,59,1128,17,4634013,243103,74147,501,4708160,243604,2,257449,25691423,327549,6018544,40137,31709967,367686,223,6,14,445178,True
59,60,1128,17,5664677,249813,75795,501,5740472,250314,2,264555,19819709,291300,5864128,39126,25683837,330426,217,6,14,397343,True
60,61,1128,17,8114490,261708,75270,502,8189760,262210,2,277152,24592793,343583,6016413,40148,30609206,383731,229,6,14,464302,True
61,62,4168,14,48719280,1213747,168802,1126,48888082,1214873,8,1308674,264664812,3356280,5961315,39676,270626127,3395956,278,6,12,5019053,True
62,63,468,20,462420,67220,74192,500,536612,67720,1,70580,5598711,123609,5501271,36631,11099982,160240,238,6,15,139446,True
63,64,360,17,2262525,87858,75084,501,2337609,88359,2,93042,8848604,123553,4825275,32117,13673879,155670,187,6,12,147418,True
64,65,360,17,5823523,111953,76524,501,5900047,112454,2,118559,13071570,180865,5510589,36619,18582159,217484,205,6,13,214087,True
65,66,360,17,4483860,104633,75828,502,4559688,105135,2,110807,16398511,223659,5723159,38140,22121670,261799,209,6,13,263214,True
66,67,4168,14,30133253,945938,149232,987,30282485,946925,6,1018508,272614824,3446045,6593263,43895,279208087,3489940,297,6,13,5169422,True
67,68,9536,21,59255292,3167346,84890,559,59340182,3167905,4,3319074,44155655,583474,8975825,59730,53131480,643204,329,9,17,784949,True
68,69,9536,21,60159834,3149310,76328,510,60236162,3149820,4,3300174,53166349,738937,9052816,60239,62219165,799176,326,9,16,957624,True
69,70,2496,23,5958679,710999,75725,500,6034404,711499,1,741911,5268474,142622,9096845,60649,14365319,203271,307,9,16,163004,True
70,71,2496,23,5958679,710999,74616,500,6033295,711499,1,741911,6644694,200923,8058510,53653,14703204,254576,303,9,16,216885,True
71,72,2496,23,5958679,710999,73969,500,6032648,711499,1,741911,10106179,235273,8790189,58649,18896368,293922,304,9,16,254433,True
72,73,13536,24,55983228,4890261,74398,501,56057626,4890762,2,5094361,32122344,588502,9410236,62703,41532580,651205,359,9,18,705434,True
73,74,13536,24,62377364,4930394,79504,524,62456868,4930918,2,5136169,33458261,632959,9865461,65710,43323722,698669,363,9,18,751627,True
74,75,13536,24,62030687,4933988,76521,511,62107208,4934499,2,5139913,32828629,657300,9321173,62186,42149802,719486,372,9,18,791169,True
75,76,21456,25,87165628,6200540,74618,502,87240246,6201042,2,6449628,57977164,1005864,11359318,75809,69336482,1081673,472,9,21,1213118,True
76,77,768,22,12453750,357563,76194,504,12529944,358067,2,373847,27544391,519041,9558672,63705,37103063,582746,352,7,18,574999,True
77,78,768,22,5732767,312618,75073,501,5807840,313119,2,326855,25912745,472838,10595312,70672,36508057,543510,376,7,20,520129,True
78,79,768,22,6673056,323728,75151,504,6748207,324232,2,338471,19591963,362848,9709028,64688,29300991,427536,351,7,18,408413,True
79,80,624,21,712677,98805,75308,500,787985,99305,1,103509,12933737,239043,9496397,63197,22430134,302240,338,7,19,275289,True
80,81,624,21,712677,98805,75858,500,788535,99305,1,103509,8609165,186361,8492339,56656,17101504,243017,313,7,18,213112,True
81,82,624,21,712677,98805,73950,500,786627,99305,1,103509,17052859,366799,7830340,52165,24883199,418964,302,7,17,398503,True
82,83,8336,16,40995901,1266944,134730,899,41130631,1267843,6,1350024,174297252,2307948,5734685,38169,180031937,2346117,293,7,13,3704691,True
83,84,8336,16,42838823,1240175,96053,648,42934876,1240823,6,1323321,192777538,2472130,5668635,37796,198446173,2509926,285,7,12,3953439,True
84,85,8336,16,53266654,1504264,156969,1046,53423623,1505310,7,1606396,169395484,2207417,5675383,37799,175070867,2245216,282,7,13,3131807,True
85,86,624,19,895299,121315,75357,500,970656,121815,1,127699,13454865,218706,5951035,39642,19405900,258348,219,7,13,247196,True
86,87,624,19,895299,121315,75312,500,970611,121815,1,127699,6426287,133701,6998283,46619,13424570,180320,228,7,14,150831,True
87,88,624,19,895299,121315,75076,500,970375,121815,1,127699,3551160,111392,6094757,40608,9645917,152000,208,7,13,119984,True
88,89,720,18,7959205,192002,77013,512,8036218,192514,2,202699,24485093,407551,7230124,48154,31715217,455705,258,7,14,461913,True
89,90,720,18,4935305,180749,75807,502,5011112,181251,2,190819,18588056,282332,7668637,51164,26256693,333496,256,7,15,325456,True
